rank,selected,detector,archetype,n_accounts,exposure_rs,effort_hours,confidence,why_flagged,is_genuine_fraud_VALIDATION_ONLY
26,False,copycatch,lockstep_chargeback_ring,5,20060.1,2.0,0.756,5 accounts filed chargebacks against merchant_3852ea0b38 within a 19-minute window (CopyCatch-lite lockstep signal),True
27,False,fraudar,shared_infra_promo_abuse,19,69358.03,7.6,1.0,"19 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
28,False,copycatch,lockstep_chargeback_ring,4,14532.61,1.6,0.805,4 accounts filed chargebacks against merchant_611fe2c7a4 within a 3-minute window (CopyCatch-lite lockstep signal),True
29,False,copycatch,lockstep_chargeback_ring,4,13803.01,1.6,0.807,4 accounts filed chargebacks against merchant_366b4dc189 within a 3-minute window (CopyCatch-lite lockstep signal),True
30,False,fraudar,shared_infra_promo_abuse,13,44071.16,5.2,1.0,"13 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
31,False,fraudar,shared_infra_promo_abuse,2,6564.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
32,False,copycatch,lockstep_chargeback_ring,4,12565.05,1.6,0.735,4 accounts filed chargebacks against merchant_3852ea0b38 within a 17-minute window (CopyCatch-lite lockstep signal),True
33,False,fraudar,shared_infra_promo_abuse,8,23658.74,3.2,1.0,"8 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
34,False,fraudar,shared_infra_promo_abuse,6,17696.84,2.4,0.9,"6 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
35,False,copycatch,lockstep_chargeback_ring,6,17282.6,2.4,0.698,6 accounts filed chargebacks against merchant_3852ea0b38 within a 36-minute window (CopyCatch-lite lockstep signal),True
36,False,fraudar,shared_infra_promo_abuse,2,5119.95,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
37,False,copycatch,lockstep_chargeback_ring,3,7619.73,1.2,0.72,3 accounts filed chargebacks against merchant_65cc380297 within a 14-minute window (CopyCatch-lite lockstep signal),True
38,False,fraudar,shared_infra_promo_abuse,4,9793.06,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
39,False,copycatch,lockstep_chargeback_ring,4,9791.17,1.6,0.8,4 accounts filed chargebacks against merchant_30fc98f4d9 within a 4-minute window (CopyCatch-lite lockstep signal),True
40,False,fraudar,shared_infra_promo_abuse,6,14247.78,2.4,0.9,"6 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
41,False,copycatch,lockstep_chargeback_ring,3,7001.62,1.2,0.717,3 accounts filed chargebacks against merchant_30fc98f4d9 within a 15-minute window (CopyCatch-lite lockstep signal),True
42,False,copycatch,lockstep_chargeback_ring,4,9042.29,1.6,0.806,4 accounts filed chargebacks against merchant_611fe2c7a4 within a 3-minute window (CopyCatch-lite lockstep signal),True
43,False,fraudar,shared_infra_promo_abuse,2,4391.58,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
44,False,fraudar,shared_infra_promo_abuse,4,8301.38,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
45,False,copycatch,lockstep_chargeback_ring,5,10213.13,2.0,0.724,5 accounts filed chargebacks against merchant_30fc98f4d9 within a 25-minute window (CopyCatch-lite lockstep signal),True
46,False,fraudar,shared_infra_promo_abuse,3,6092.26,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
47,False,fraudar,shared_infra_promo_abuse,7,14188.96,2.8,1.0,"7 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
48,False,fraudar,shared_infra_promo_abuse,6,11968.17,2.4,0.9,"6 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
49,False,copycatch,lockstep_chargeback_ring,6,11781.5,2.4,0.781,6 accounts filed chargebacks against merchant_30fc98f4d9 within a 20-minute window (CopyCatch-lite lockstep signal),True
50,False,fraudar,shared_infra_promo_abuse,3,5789.57,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
51,False,fraudar,shared_infra_promo_abuse,4,7689.75,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
52,False,fraudar,shared_infra_promo_abuse,4,7679.42,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
53,False,copycatch,lockstep_chargeback_ring,3,5727.61,1.2,0.755,3 accounts filed chargebacks against merchant_3852ea0b38 within a 7-minute window (CopyCatch-lite lockstep signal),True
54,False,copycatch,lockstep_chargeback_ring,4,7414.78,1.6,0.788,4 accounts filed chargebacks against merchant_ed1c7ea31d within a 6-minute window (CopyCatch-lite lockstep signal),True
55,False,copycatch,lockstep_chargeback_ring,3,5162.42,1.2,0.773,3 accounts filed chargebacks against merchant_ed1c7ea31d within a 3-minute window (CopyCatch-lite lockstep signal),True
56,False,fraudar,shared_infra_promo_abuse,4,6762.99,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
57,False,fraudar,shared_infra_promo_abuse,6,10051.17,2.4,0.9,"6 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
58,False,copycatch,lockstep_chargeback_ring,3,4841.08,1.2,0.742,3 accounts filed chargebacks against merchant_65cc380297 within a 10-minute window (CopyCatch-lite lockstep signal),True
59,False,fraudar,shared_infra_promo_abuse,3,4787.23,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
60,False,fraudar,shared_infra_promo_abuse,2,3120.08,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
61,False,fraudar,shared_infra_promo_abuse,3,4454.32,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
62,False,fraudar,shared_infra_promo_abuse,8,10332.68,3.2,1.0,"8 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
63,False,fraudar,shared_infra_promo_abuse,2,2573.24,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
64,False,fraudar,shared_infra_promo_abuse,2,2445.46,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
65,False,fraudar,shared_infra_promo_abuse,5,5564.07,2.0,0.8,"5 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
66,False,fraudar,shared_infra_promo_abuse,3,3168.53,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
67,False,fraudar,shared_infra_promo_abuse,7,7155.13,2.8,1.0,"7 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
68,False,fraudar,shared_infra_promo_abuse,2,2022.69,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
69,False,fraudar,shared_infra_promo_abuse,2,1974.16,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
70,False,fraudar,shared_infra_promo_abuse,4,3318.16,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
71,False,fraudar,shared_infra_promo_abuse,3,2379.9,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
72,False,fraudar,shared_infra_promo_abuse,3,2365.32,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
73,False,fraudar,shared_infra_promo_abuse,2,1415.55,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
74,False,fraudar,shared_infra_promo_abuse,3,2105.78,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
75,False,fraudar,shared_infra_promo_abuse,7,4820.43,2.8,1.0,"7 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
76,False,fraudar,shared_infra_promo_abuse,2,1152.53,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
77,False,fraudar,shared_infra_promo_abuse,3,1648.72,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
78,False,fraudar,shared_infra_promo_abuse,2,947.28,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
79,False,fraudar,shared_infra_promo_abuse,3,1367.26,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
80,False,fraudar,shared_infra_promo_abuse,2,845.27,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
81,False,fraudar,shared_infra_promo_abuse,3,1188.9,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
82,False,fraudar,shared_infra_promo_abuse,4,1481.66,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
83,False,fraudar,shared_infra_promo_abuse,7,2276.58,2.8,1.0,"7 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
84,False,fraudar,shared_infra_promo_abuse,2,576.43,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
85,False,fraudar,shared_infra_promo_abuse,3,829.5,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
86,False,fraudar,shared_infra_promo_abuse,3,684.9,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
87,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
88,False,fraudar,shared_infra_promo_abuse,4,0.0,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
89,False,fraudar,shared_infra_promo_abuse,3,0.0,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
90,False,fraudar,shared_infra_promo_abuse,4,0.0,1.6,0.7,"4 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
91,False,fraudar,shared_infra_promo_abuse,3,0.0,1.2,0.6,"3 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
92,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
93,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
94,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
95,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
96,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
97,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
98,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
99,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
100,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
101,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
102,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
103,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
104,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
105,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
106,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
107,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",True
108,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
109,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
110,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
111,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
112,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
113,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
114,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
115,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
116,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
117,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
118,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
119,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
120,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
121,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
122,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
123,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
124,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
125,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
126,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
127,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
128,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
129,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
130,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
131,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
132,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
133,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
134,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
135,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
136,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
137,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
138,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
139,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
140,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
141,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
142,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
143,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
144,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
145,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
146,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
147,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
148,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
149,False,fraudar,shared_infra_promo_abuse,2,0.0,0.8,0.5,"2 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
150,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
151,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
152,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
153,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
154,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
155,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
156,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
157,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
158,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
159,False,fraudar,shared_infra_promo_abuse,1,0.0,0.4,0.4,"1 accounts cluster together via shared devices/IPs, below the population's normal sharing baseline (FRAUDAR-lite density signal)",False
