account_id,flagged_by_detector,archetype,is_true_fraud,risk_score,velocity_txn_per_day,max_amount_zscore,new_counterparty_fraction,n_transactions
customer_b1be888859,fraudar,shared_infra_promo_abuse,False,0.639,0.49,4.67,1.0,42
customer_66d61c7e39,fraudar,shared_infra_promo_abuse,False,0.634,0.42,7.98,1.0,36
customer_59d2e63d9c,fraudar,shared_infra_promo_abuse,False,0.634,0.48,4.41,0.98,42
customer_df0e91f46e,fraudar,shared_infra_promo_abuse,False,0.633,0.41,6.68,1.0,36
customer_39b0801764,fraudar,shared_infra_promo_abuse,False,0.633,0.41,4.08,1.0,36
customer_e2db54a4ec,fraudar,shared_infra_promo_abuse,False,0.632,0.4,3.96,1.0,35
customer_6c893b89f6,fraudar,shared_infra_promo_abuse,False,0.632,0.41,5.08,1.0,35
customer_0e6017469b,fraudar,shared_infra_promo_abuse,False,0.631,0.38,5.04,1.0,30
customer_c1489b1b3c,fraudar,shared_infra_promo_abuse,False,0.631,0.38,4.02,1.0,33
customer_7ab4a8b4e3,fraudar,shared_infra_promo_abuse,False,0.631,0.38,3.85,1.0,33
customer_dbd9f0cc07,fraudar,shared_infra_promo_abuse,False,0.631,0.39,3.9,1.0,34
customer_88ed88642a,fraudar,shared_infra_promo_abuse,False,0.63,0.45,6.4,0.97,33
customer_fddc28ed3c,fraudar,shared_infra_promo_abuse,False,0.63,0.37,3.85,1.0,32
customer_ca381bdee7,fraudar,shared_infra_promo_abuse,False,0.63,0.37,3.17,1.0,32
customer_948dc5a84d,fraudar,shared_infra_promo_abuse,False,0.63,0.49,3.19,0.95,43
customer_1dd1e2fd22,fraudar,shared_infra_promo_abuse,False,0.629,0.36,3.11,1.0,27
customer_b176c29713,fraudar,shared_infra_promo_abuse,False,0.629,0.37,7.85,1.0,32
customer_1ab1d8f6ba,fraudar,shared_infra_promo_abuse,False,0.629,0.44,7.82,0.97,37
customer_a89814b7f0,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.0,1.0,30
customer_55caaddf53,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.25,1.0,29
customer_3db8f59d73,fraudar,shared_infra_promo_abuse,False,0.628,0.35,6.21,1.0,28
customer_a2320889e4,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.12,1.0,28
customer_a1dc3e34e8,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.28,1.0,31
customer_95e87e042e,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.37,1.0,25
customer_934dc6ddca,fraudar,shared_infra_promo_abuse,False,0.628,0.52,3.96,0.93,45
customer_6295938562,fraudar,shared_infra_promo_abuse,False,0.628,0.41,3.76,0.97,37
customer_032cfb2fb8,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.08,1.0,29
customer_8cc06735f5,fraudar,shared_infra_promo_abuse,False,0.628,0.35,3.18,1.0,30
customer_71c5544ef2,fraudar,shared_infra_promo_abuse,False,0.628,0.35,7.33,1.0,31
customer_287c7838e9,fraudar,shared_infra_promo_abuse,False,0.628,0.34,5.11,1.0,30
customer_d8c0baeb95,fraudar,shared_infra_promo_abuse,False,0.628,0.48,5.04,0.95,41
customer_7a9c31d4bd,fraudar,shared_infra_promo_abuse,False,0.628,0.48,3.52,0.95,37
customer_92d7c32fde,fraudar,shared_infra_promo_abuse,False,0.627,0.33,4.7,1.0,29
merchant_76ab5a5ac5,flowscope,circular_flow_laundering,True,0.627,0.33,15.43,1.0,25
customer_d32b4fc713,fraudar,shared_infra_promo_abuse,False,0.627,0.33,5.09,1.0,27
merchant_4fbae19fbb,flowscope,circular_flow_laundering,True,0.627,0.34,16.78,1.0,27
customer_400b12629f,fraudar,shared_infra_promo_abuse,False,0.627,0.33,5.25,1.0,27
customer_bb5ee60d67,fraudar,shared_infra_promo_abuse,False,0.627,0.34,5.82,1.0,29
customer_cf1e17e953,fraudar,shared_infra_promo_abuse,False,0.627,0.34,3.37,1.0,24
customer_8065153f2c,fraudar,shared_infra_promo_abuse,False,0.626,0.32,4.66,1.0,28
customer_bdea6b72ae,fraudar,shared_infra_promo_abuse,False,0.626,0.33,5.66,1.0,26
customer_b282dc1e2c,fraudar,shared_infra_promo_abuse,False,0.626,0.33,9.13,1.0,28
customer_bd338696be,fraudar,shared_infra_promo_abuse,False,0.626,0.4,3.25,0.97,35
customer_4730f62466,fraudar,shared_infra_promo_abuse,False,0.626,0.32,5.06,1.0,26
customer_9492cd29d6,fraudar,shared_infra_promo_abuse,False,0.626,0.33,4.65,1.0,27
merchant_c40b6efcea,flowscope,circular_flow_laundering,True,0.625,0.31,14.24,1.0,24
customer_eb5497b000,fraudar,shared_infra_promo_abuse,False,0.625,0.39,13.36,0.97,33
customer_f2d3375825,fraudar,shared_infra_promo_abuse,False,0.625,0.45,5.05,0.95,39
merchant_c1631590a3,flowscope,circular_flow_laundering,True,0.625,0.31,18.12,1.0,25
customer_7b5b25f605,fraudar,shared_infra_promo_abuse,False,0.625,0.46,3.23,0.94,35
customer_81df3b2e43,fraudar,shared_infra_promo_abuse,False,0.625,0.31,3.02,1.0,25
customer_5ad59fdf61,fraudar,shared_infra_promo_abuse,False,0.625,0.32,4.18,1.0,26
merchant_70e9c268fe,flowscope,circular_flow_laundering,True,0.625,0.31,18.12,1.0,26
customer_a2d8230814,fraudar,shared_infra_promo_abuse,False,0.625,0.32,3.12,1.0,27
customer_0c64a3d9c4,fraudar,shared_infra_promo_abuse,False,0.625,0.31,5.68,1.0,26
merchant_1edb3557cc,flowscope,circular_flow_laundering,True,0.624,0.3,18.16,1.0,25
merchant_344ae5032f,flowscope,circular_flow_laundering,True,0.624,0.29,13.07,1.0,24
customer_daf7f9487d,fraudar,shared_infra_promo_abuse,False,0.624,0.44,6.65,0.94,35
customer_d60dc3f739,fraudar,shared_infra_promo_abuse,False,0.624,0.3,4.59,1.0,25
customer_518b2d1e96,fraudar,shared_infra_promo_abuse,False,0.624,0.43,4.73,0.95,37
customer_26cd22c1c2,fraudar,shared_infra_promo_abuse,False,0.624,0.3,6.42,1.0,24
customer_b07da27fb0,fraudar,shared_infra_promo_abuse,False,0.624,0.3,3.2,1.0,25
customer_7b6daf7c10,fraudar,shared_infra_promo_abuse,False,0.624,0.3,4.25,1.0,26
customer_e3781f4b6b,fraudar,shared_infra_promo_abuse,False,0.624,0.3,8.45,1.0,26
customer_b3e5feb889,fraudar,shared_infra_promo_abuse,False,0.624,0.38,4.36,0.97,32
customer_907965162f,fraudar,shared_infra_promo_abuse,False,0.624,0.3,3.78,1.0,26
merchant_b2eccdbd7e,flowscope,circular_flow_laundering,True,0.623,0.29,15.29,1.0,25
customer_008a7bd674,fraudar,shared_infra_promo_abuse,False,0.623,0.28,3.08,1.0,23
customer_6bd6505306,fraudar,shared_infra_promo_abuse,False,0.623,0.28,5.25,1.0,23
customer_dfdedfa046,fraudar,shared_infra_promo_abuse,False,0.623,0.42,5.03,0.95,37
customer_a2c2be3a67,fraudar,shared_infra_promo_abuse,False,0.623,0.29,4.73,1.0,23
merchant_c3191222b9,flowscope,circular_flow_laundering,True,0.623,0.29,16.55,1.0,24
customer_c127547ae6,fraudar,shared_infra_promo_abuse,False,0.623,0.28,3.95,1.0,24
customer_694577e4cc,fraudar,shared_infra_promo_abuse,False,0.623,0.29,4.57,1.0,24
customer_0d193263a1,fraudar,shared_infra_promo_abuse,False,0.623,0.42,4.39,0.94,36
customer_ff7d7d23f8,fraudar,shared_infra_promo_abuse,False,0.623,0.36,3.75,0.97,32
customer_e05f564dd6,fraudar,shared_infra_promo_abuse,False,0.623,0.37,7.91,0.97,32
customer_8f5df6865d,fraudar,shared_infra_promo_abuse,False,0.623,0.36,4.88,0.97,31
merchant_e85940cb8e,flowscope,circular_flow_laundering,True,0.623,0.29,12.32,1.0,24
customer_c9ecb3eb3e,fraudar,shared_infra_promo_abuse,False,0.622,0.36,8.97,0.97,31
merchant_8d804dd46b,flowscope,circular_flow_laundering,True,0.622,0.28,16.37,1.0,3
customer_749a39fda8,fraudar,shared_infra_promo_abuse,False,0.622,0.27,3.56,1.0,20
customer_bed4989d42,fraudar,shared_infra_promo_abuse,False,0.622,0.27,4.01,1.0,22
customer_2f09aa56c4,fraudar,shared_infra_promo_abuse,False,0.622,0.28,3.43,1.0,22
customer_135671426c,fraudar,shared_infra_promo_abuse,False,0.622,0.36,36.95,0.97,30
customer_1d43fca411,fraudar,shared_infra_promo_abuse,False,0.622,0.27,4.59,1.0,24
customer_c09706aab2,fraudar,shared_infra_promo_abuse,False,0.622,0.35,4.19,0.97,30
customer_7540b07d3f,fraudar,shared_infra_promo_abuse,False,0.622,0.37,11.84,0.96,28
customer_1ca3fe4b54,fraudar,shared_infra_promo_abuse,False,0.622,0.27,5.43,1.0,23
customer_f7d6d1c4e9,fraudar,shared_infra_promo_abuse,False,0.621,0.26,4.73,1.0,20
customer_e1e65e6c37,fraudar,shared_infra_promo_abuse,False,0.621,0.27,4.43,1.0,22
customer_7ad8aee44c,fraudar,shared_infra_promo_abuse,False,0.621,0.26,3.16,1.0,21
customer_66ed4df817,fraudar,shared_infra_promo_abuse,False,0.621,0.34,5.15,0.97,29
customer_5e998ba3b2,fraudar,shared_infra_promo_abuse,False,0.621,0.4,3.22,0.94,34
customer_cb79970232,fraudar,shared_infra_promo_abuse,False,0.621,0.27,7.17,1.0,21
customer_8eb31b8b5c,fraudar,shared_infra_promo_abuse,False,0.621,0.4,3.7,0.94,36
customer_eded5738f3,fraudar,shared_infra_promo_abuse,False,0.621,0.34,3.13,0.97,30
customer_1640ffc3e6,fraudar,shared_infra_promo_abuse,False,0.621,0.27,6.06,1.0,23
customer_43e9908661,fraudar,shared_infra_promo_abuse,False,0.621,0.35,3.15,0.96,28
customer_0d568c8e46,fraudar,shared_infra_promo_abuse,False,0.62,0.25,8.89,1.0,22
customer_7e1d327dc1,fraudar,shared_infra_promo_abuse,False,0.62,0.25,4.08,1.0,21
customer_648bee08a9,fraudar,shared_infra_promo_abuse,False,0.62,0.4,3.03,0.94,34
customer_6091b8410b,fraudar,shared_infra_promo_abuse,False,0.619,0.33,3.45,0.97,29
customer_6472d7d9ca,fraudar,shared_infra_promo_abuse,False,0.619,0.38,4.44,0.94,34
customer_fba0036d1c,fraudar,shared_infra_promo_abuse,False,0.619,0.33,3.41,0.96,28
customer_cce01c144f,fraudar,shared_infra_promo_abuse,False,0.619,0.39,3.08,0.94,33
customer_922734b803,fraudar,shared_infra_promo_abuse,False,0.619,0.38,7.88,0.94,34
customer_4f7b1a92fd,fraudar,shared_infra_promo_abuse,False,0.619,0.43,3.15,0.92,38
customer_d53bb6fa77,fraudar,shared_infra_promo_abuse,False,0.619,0.39,4.0,0.94,34
customer_2e5502851a,fraudar,shared_infra_promo_abuse,False,0.619,0.39,3.39,0.94,33
customer_47a4b50a79,fraudar,shared_infra_promo_abuse,False,0.618,0.32,3.03,0.96,27
customer_33bb59224e,fraudar,shared_infra_promo_abuse,False,0.618,0.32,3.31,0.96,27
customer_0196e4da33,fraudar,shared_infra_promo_abuse,False,0.618,0.22,9.93,1.0,19
customer_98558963a9,fraudar,shared_infra_promo_abuse,False,0.618,0.47,6.32,0.9,41
customer_b655f24c9a,fraudar,shared_infra_promo_abuse,False,0.618,0.33,5.33,0.96,25
customer_6b280ba063,fraudar,shared_infra_promo_abuse,False,0.618,0.22,3.62,1.0,19
customer_c818d3db63,fraudar,shared_infra_promo_abuse,False,0.618,0.32,13.04,0.96,27
customer_94149a46c7,fraudar,shared_infra_promo_abuse,False,0.618,0.22,3.42,1.0,19
customer_0a623cd383,fraudar,shared_infra_promo_abuse,False,0.617,0.42,3.44,0.91,35
merchant_5dd55f4db6,flowscope,circular_flow_laundering,True,0.617,0.22,18.19,1.0,12
customer_b77126adf8,fraudar,shared_infra_promo_abuse,False,0.617,0.36,3.01,0.94,32
customer_2baa94dc47,fraudar,shared_infra_promo_abuse,False,0.617,0.42,2.98,0.94,31
customer_fcd4693b3e,fraudar,shared_infra_promo_abuse,False,0.617,0.21,3.24,1.0,19
customer_133735f1f8,fraudar,shared_infra_promo_abuse,False,0.617,0.37,4.1,0.94,32
customer_a2e7de4987,fraudar,shared_infra_promo_abuse,False,0.616,0.36,5.32,0.94,31
customer_dcf0e6e1e4,fraudar,shared_infra_promo_abuse,False,0.616,0.2,5.46,1.0,18
merchant_a5af62ed0e,flowscope,circular_flow_laundering,True,0.616,0.19,7.49,1.0,13
customer_9ebe2852af,fraudar,shared_infra_promo_abuse,False,0.616,0.2,5.77,1.0,15
customer_347fdcfad6,fraudar,shared_infra_promo_abuse,False,0.616,0.3,4.08,0.96,26
customer_6153e59565,fraudar,shared_infra_promo_abuse,False,0.615,0.37,3.86,0.93,27
customer_21f0904bfc,fraudar,shared_infra_promo_abuse,False,0.615,0.35,4.35,0.94,31
customer_018120bee4,fraudar,shared_infra_promo_abuse,False,0.615,0.37,3.81,0.93,28
customer_f621967b5c,fraudar,shared_infra_promo_abuse,False,0.615,0.51,2.88,0.96,45
customer_f5ba49c00d,fraudar,shared_infra_promo_abuse,False,0.615,0.29,4.48,0.96,25
customer_9ba35be386,fraudar,shared_infra_promo_abuse,False,0.615,0.29,5.11,0.96,24
customer_27f84e8da5,fraudar,shared_infra_promo_abuse,False,0.615,0.4,3.01,0.91,35
customer_b373f6db58,fraudar,shared_infra_promo_abuse,False,0.615,0.36,3.09,0.93,29
customer_cc6d5a8fa2,fraudar,shared_infra_promo_abuse,False,0.615,0.36,3.92,0.93,28
customer_db022ccd0e,fraudar,shared_infra_promo_abuse,False,0.615,0.29,2.93,1.0,24
merchant_ebc3ad2876,flowscope,circular_flow_laundering,True,0.614,0.17,6.09,1.0,12
customer_374f49897a,fraudar,shared_infra_promo_abuse,False,0.614,0.4,3.0,0.91,34
customer_fa7c36f1ed,fraudar,shared_infra_promo_abuse,False,0.614,0.29,4.15,0.96,24
merchant_25a6bf7aff,flowscope,circular_flow_laundering,True,0.614,0.17,20.05,1.0,13
customer_54f23e2711,fraudar,shared_infra_promo_abuse,False,0.614,0.39,4.18,0.91,34
customer_d5c7dbed59,fraudar,shared_infra_promo_abuse,False,0.614,0.34,4.21,0.93,30
customer_9c63eb9c6b,fraudar,shared_infra_promo_abuse,False,0.613,0.34,2.95,0.97,29
customer_3df5e66966,fraudar,shared_infra_promo_abuse,False,0.613,0.37,2.92,0.97,32
customer_833fd06ce9,fraudar,shared_infra_promo_abuse,False,0.613,0.34,3.17,0.93,28
merchant_3c9c1002b7,flowscope,circular_flow_laundering,True,0.613,0.16,7.21,1.0,12
customer_c21eefd004,fraudar,shared_infra_promo_abuse,False,0.612,0.37,3.35,0.91,33
customer_95903219b8,fraudar,shared_infra_promo_abuse,False,0.612,0.34,3.1,0.93,27
merchant_f2303f7489,flowscope,circular_flow_laundering,True,0.612,0.15,20.05,1.0,12
merchant_5a70b9c0b4,flowscope,circular_flow_laundering,True,0.612,0.15,6.62,1.0,13
customer_790474b9da,fraudar,shared_infra_promo_abuse,False,0.612,0.33,5.54,0.93,28
customer_6aab5f73c5,fraudar,shared_infra_promo_abuse,False,0.612,0.27,4.59,0.95,22
customer_fe8acce974,fraudar,shared_infra_promo_abuse,False,0.612,0.33,3.39,0.93,27
customer_4d0aea7883,fraudar,shared_infra_promo_abuse,False,0.611,0.32,3.29,0.93,28
customer_66d5bbf72d,fraudar,shared_infra_promo_abuse,False,0.611,0.26,7.95,0.95,21
customer_303a9ee7bc,fraudar,shared_infra_promo_abuse,False,0.611,0.32,4.33,0.93,28
customer_7246b0e789,fraudar,shared_infra_promo_abuse,False,0.611,0.25,8.12,0.95,21
customer_7d32be9ec3,fraudar,shared_infra_promo_abuse,False,0.611,0.32,5.65,0.93,27
customer_d6b3e38464,fraudar,shared_infra_promo_abuse,False,0.611,0.28,2.91,1.0,23
customer_42d302e4ee,fraudar,shared_infra_promo_abuse,False,0.611,0.31,2.95,0.96,27
customer_5611dc7aeb,fraudar,shared_infra_promo_abuse,False,0.611,0.32,3.16,0.93,27
customer_3204a240dc,fraudar,shared_infra_promo_abuse,False,0.61,0.35,2.96,0.93,30
customer_514d143828,fraudar,shared_infra_promo_abuse,False,0.61,0.31,3.1,0.93,27
customer_f57ac07353,fraudar,shared_infra_promo_abuse,False,0.61,0.33,8.2,0.92,24
customer_dfe1511651,fraudar,shared_infra_promo_abuse,False,0.609,0.4,4.94,0.89,35
customer_84e568048a,fraudar,shared_infra_promo_abuse,False,0.609,0.38,2.93,0.94,32
customer_d75105c59c,fraudar,shared_infra_promo_abuse,False,0.608,0.29,2.89,1.0,25
customer_0ed62b95d7,fraudar,shared_infra_promo_abuse,False,0.607,0.28,2.94,0.96,25
customer_d176087827,fraudar,shared_infra_promo_abuse,False,0.607,0.22,4.12,0.94,18
merchant_dac725aa98,fraudar,shared_infra_promo_abuse,False,0.607,1.28,2.31,0.98,111
customer_bb7715d1c6,fraudar,shared_infra_promo_abuse,False,0.606,0.35,4.11,0.89,28
customer_d52333640c,fraudar,shared_infra_promo_abuse,False,0.604,0.32,3.64,0.89,27
customer_ac2c315d1f,fraudar,shared_infra_promo_abuse,False,0.603,0.3,2.85,1.0,26
customer_35dfd6bfc0,fraudar,shared_infra_promo_abuse,False,0.603,0.42,2.77,1.0,31
customer_9f2ae93b22,fraudar,shared_infra_promo_abuse,False,0.602,0.35,2.96,0.9,29
customer_5f1ec0a9c6,fraudar,shared_infra_promo_abuse,False,0.601,0.34,4.73,0.87,30
customer_28014cea89,fraudar,shared_infra_promo_abuse,False,0.599,0.3,2.81,1.0,25
customer_e1359b2f38,fraudar,shared_infra_promo_abuse,False,0.592,0.36,2.77,0.97,32
customer_e6140f4be2,fraudar,shared_infra_promo_abuse,False,0.58,0.26,2.7,1.0,19
customer_066a5cfae8,fraudar,shared_infra_promo_abuse,False,0.578,0.38,2.61,1.0,32
customer_8e558f1e24,fraudar,shared_infra_promo_abuse,False,0.578,0.41,2.59,1.0,35
customer_61e36b6b06,fraudar,shared_infra_promo_abuse,False,0.578,0.27,2.74,0.96,24
customer_f07958f66f,fraudar,shared_infra_promo_abuse,False,0.576,0.18,2.71,1.0,16
customer_70665f17b1,fraudar,shared_infra_promo_abuse,False,0.576,0.37,2.65,0.97,31
customer_92ea025927,fraudar,shared_infra_promo_abuse,False,0.576,0.26,2.93,0.82,17
customer_834082a1e3,fraudar,shared_infra_promo_abuse,False,0.571,0.33,2.64,0.96,28
customer_cf6619bc1f,fraudar,shared_infra_promo_abuse,False,0.571,0.41,2.62,0.94,36
customer_2084610732,fraudar,shared_infra_promo_abuse,False,0.57,0.46,2.65,0.9,40
customer_83559dc96c,fraudar,shared_infra_promo_abuse,False,0.57,0.39,2.62,0.94,35
customer_b77aedb638,fraudar,shared_infra_promo_abuse,False,0.57,0.36,2.61,0.97,30
customer_f5f5453e1f,fraudar,shared_infra_promo_abuse,False,0.568,0.29,2.58,1.0,24
customer_e75e6f56b4,fraudar,shared_infra_promo_abuse,False,0.567,0.31,2.56,1.0,27
customer_c4694a0803,fraudar,shared_infra_promo_abuse,False,0.565,0.31,2.55,1.0,24
customer_372de0c3b9,fraudar,shared_infra_promo_abuse,False,0.561,0.22,2.58,1.0,14
customer_390512c0ba,fraudar,shared_infra_promo_abuse,False,0.561,0.35,2.55,0.97,29
customer_926888b4d5,fraudar,shared_infra_promo_abuse,False,0.561,0.36,2.54,0.97,29
customer_b6067ab67f,copycatch,lockstep_chargeback_ring,True,0.56,1.0,2.1,1.0,1
customer_190083ff0f,fraudar,shared_infra_promo_abuse,False,0.559,0.35,2.58,0.94,31
