ring_id,ring_type,camouflage_level,account_id
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_990ca3af77
ring_39123dbea3,shared_infra_promo_abuse,hard,customer_6d4894c851
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_5e90e2d43f
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_c9e214e082
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_a0adfff59c
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_176d8f5e55
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_9c92aef517
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_7f4ef3bfbb
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_fc4f1531d8
ring_a5ca08639d,shared_infra_promo_abuse,hard,customer_9c51e5a7ce
ring_72da5c9114,circular_flow_laundering,easy,merchant_cf56c3fe41
ring_72da5c9114,circular_flow_laundering,easy,merchant_f964fd38a3
ring_72da5c9114,circular_flow_laundering,easy,merchant_3bd700ca8c
ring_72da5c9114,circular_flow_laundering,easy,merchant_279d559e80
ring_2593c67f1a,circular_flow_laundering,easy,merchant_b851e6e672
ring_2593c67f1a,circular_flow_laundering,easy,merchant_b78292ed4a
ring_2593c67f1a,circular_flow_laundering,easy,merchant_77716d620a
ring_2593c67f1a,circular_flow_laundering,easy,merchant_4e5fd050a9
ring_36c0bc14ed,circular_flow_laundering,medium,merchant_3f5bb51e0a
ring_36c0bc14ed,circular_flow_laundering,medium,merchant_a5af62ed0e
ring_36c0bc14ed,circular_flow_laundering,medium,merchant_3c9c1002b7
ring_36c0bc14ed,circular_flow_laundering,medium,merchant_5a70b9c0b4
ring_36c0bc14ed,circular_flow_laundering,medium,merchant_ebc3ad2876
ring_db30cda68e,circular_flow_laundering,medium,merchant_25a6bf7aff
ring_db30cda68e,circular_flow_laundering,medium,merchant_f2303f7489
ring_db30cda68e,circular_flow_laundering,medium,merchant_5dd55f4db6
ring_db30cda68e,circular_flow_laundering,medium,merchant_8d804dd46b
ring_db30cda68e,circular_flow_laundering,medium,merchant_3ff0e9ee3f
ring_a7c06769d5,circular_flow_laundering,hard,merchant_30f8830764
ring_a7c06769d5,circular_flow_laundering,hard,merchant_1edb3557cc
ring_a7c06769d5,circular_flow_laundering,hard,merchant_4fbae19fbb
ring_a7c06769d5,circular_flow_laundering,hard,merchant_76ab5a5ac5
ring_a7c06769d5,circular_flow_laundering,hard,merchant_c40b6efcea
ring_a7c06769d5,circular_flow_laundering,hard,merchant_4314227986
ring_a7c06769d5,circular_flow_laundering,hard,merchant_344ae5032f
ring_a7c06769d5,circular_flow_laundering,hard,merchant_e85940cb8e
ring_af21acb65d,circular_flow_laundering,hard,merchant_70e9c268fe
ring_af21acb65d,circular_flow_laundering,hard,merchant_c1631590a3
ring_af21acb65d,circular_flow_laundering,hard,merchant_c3191222b9
ring_af21acb65d,circular_flow_laundering,hard,merchant_b2eccdbd7e
ring_52aa7cddb1,lockstep_chargeback_ring,easy,customer_957cca739b
ring_52aa7cddb1,lockstep_chargeback_ring,easy,customer_e66f4c3725
ring_52aa7cddb1,lockstep_chargeback_ring,easy,customer_8ce08d99b6
ring_52aa7cddb1,lockstep_chargeback_ring,easy,customer_6f6975ac53
ring_52aa7cddb1,lockstep_chargeback_ring,easy,customer_45b1409cd1
ring_52aa7cddb1,lockstep_chargeback_ring,easy,customer_8495236ce9
ring_52aa7cddb1,lockstep_chargeback_ring,easy,customer_dad1035954
ring_6180178125,lockstep_chargeback_ring,easy,customer_25bc5b95f6
ring_6180178125,lockstep_chargeback_ring,easy,customer_939c4c7d9b
ring_6180178125,lockstep_chargeback_ring,easy,customer_dbe006a93e
ring_6180178125,lockstep_chargeback_ring,easy,customer_e15573bc42
ring_6180178125,lockstep_chargeback_ring,easy,customer_b6067ab67f
ring_6180178125,lockstep_chargeback_ring,easy,customer_409d0ef855
ring_6180178125,lockstep_chargeback_ring,easy,customer_cb79405e2e
ring_6180178125,lockstep_chargeback_ring,easy,customer_7a89f72229
ring_6180178125,lockstep_chargeback_ring,easy,customer_7f5c68d98f
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_10f64c6349
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_e5feb8639b
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_b1325351d9
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_a38da0ff35
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_13dc1d2f58
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_da017b69da
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_f24fdd5c9c
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_bf66f1c660
ring_6f009d5b2b,lockstep_chargeback_ring,easy,customer_6648d13d46
ring_8754abc566,lockstep_chargeback_ring,medium,customer_ad7e33a907
ring_8754abc566,lockstep_chargeback_ring,medium,customer_fd774ad038
ring_8754abc566,lockstep_chargeback_ring,medium,customer_b2e9d5ad97
ring_8754abc566,lockstep_chargeback_ring,medium,customer_e0df46cec8
ring_8754abc566,lockstep_chargeback_ring,medium,customer_6053c8e5a0
ring_8754abc566,lockstep_chargeback_ring,medium,customer_6b35aa6494
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_41f9fde7de
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_b1d9d37997
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_ac3103e178
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_519f4c46ca
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_b6f2c51eb6
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_a7b524be4c
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_4290b5b75b
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_e4836cba4e
ring_f85129e85a,lockstep_chargeback_ring,medium,customer_803527ae9a
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_9f495c5f47
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_7d3f83c5bd
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_7f64c5beee
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_1756c5379a
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_35d9b8e23b
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_779c93c9b0
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_de96193010
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_298e30f7e1
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_558fee5d55
ring_580fa3aac0,lockstep_chargeback_ring,hard,customer_f4d89d751d
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_df5eb6295c
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_29065b557b
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_9d7dfda680
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_dafbaf4cc9
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_c25636a049
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_54b5a6bd62
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_eb69bb02e0
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_a4a1a4cb8a
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_32f8f63689
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_fef1949737
ring_b1250e8726,lockstep_chargeback_ring,hard,customer_2b450c9199
